name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iteration
1fkb_ligand,-15.021721,166,0,6,144,99600,100,50,10
1fkb_ligand,-1.401435,166,10,6,144,99600,100,50,10
1fkb_ligand,-4.638269,166,11,6,144,99600,100,50,10
1fkb_ligand,-6.147193,166,12,6,144,99600,100,50,10
1fkb_ligand,-0.421298,166,13,6,144,99600,100,50,10
1fkb_ligand,-0.678956,166,14,6,144,99600,100,50,10
1fkb_ligand,-5.447590,166,1,6,144,99600,100,50,10
1fkb_ligand,-4.694192,166,2,6,144,99600,100,50,10
1fkb_ligand,-4.629332,166,3,6,144,99600,100,50,10
1fkb_ligand,-7.655011,166,4,6,144,99600,100,50,10
1fkb_ligand,-1.813231,166,5,6,144,99600,100,50,10
1fkb_ligand,61.182072,166,6,6,144,99600,100,50,10
1fkb_ligand,-5.472834,166,7,6,144,99600,100,50,10
1fkb_ligand,-3.482912,166,8,6,144,99600,100,50,10
1fkb_ligand,-7.393240,166,9,6,144,99600,100,50,10
1fkb_ligand,-15.916748,9,0,6,144,90900,100,50,200
1fkb_ligand,-3.923431,9,10,6,144,90900,100,50,200
1fkb_ligand,-5.612357,9,11,6,144,90900,100,50,200
1fkb_ligand,-7.837686,9,12,6,144,90900,100,50,200
1fkb_ligand,-5.909007,9,13,6,144,90900,100,50,200
1fkb_ligand,-6.004115,9,14,6,144,90900,100,50,200
1fkb_ligand,-5.909728,9,1,6,144,90900,100,50,200
1fkb_ligand,-5.730004,9,2,6,144,90900,100,50,200
1fkb_ligand,-4.828513,9,3,6,144,90900,100,50,200
1fkb_ligand,-7.571568,9,4,6,144,90900,100,50,200
1fkb_ligand,-4.347552,9,5,6,144,90900,100,50,200
1fkb_ligand,-5.115014,9,6,6,144,90900,100,50,200
